379.666198	-1109.099244	-763943.885872	-1089135.471459
1306.587722	-2313.829583	-763761.446116	-1089467.996549
1559.866482	-2312.942563	-763699.276611	-1089476.859609
1245.076404	-2316.720763	-763771.823000	-1089466.722200
5402.617923	-8161.014194	-762963.109800	-1091057.011100
5349.563688	-7855.169107	-762969.393700	-1090979.488100
5397.239013	-7931.730925	-762958.148900	-1090999.530300
4941.548786	-7733.246649	-763063.651700	-1090935.964000
4544.824520	-7012.911804	-763136.174100	-1090743.770300
4315.361076	-7157.379915	-763194.475200	-1090773.597700
4041.068256	-7208.001262	-763265.383600	-1090776.547800
3904.355914	-7148.019843	-763302.077000	-1090755.376700
3521.169174	-7212.895561	-763396.004300	-1090759.768800
2957.035548	-7045.463877	-763524.860600	-1090693.503800
3154.587368	-7064.405780	-763476.838600	-1090706.878500
2682.008861	-6516.472962	-763573.596900	-1090555.311600
2606.493197	-5828.256429	-763568.309900	-1090381.987500
3031.698085	-5816.627006	-763462.514700	-1090392.454400
3508.937817	-5693.657004	-763345.692100	-1090382.616300
3305.965542	-5428.691503	-763383.425300	-1090308.201200
2906.072758	-5603.864242	-763489.064800	-1090337.164300
3262.047797	-5292.915352	-763388.470000	-1090274.563800
2665.729810	-4975.933876	-763521.513400	-1090170.069100
2331.831278	-4851.667177	-763602.039500	-1090125.261800
2184.728869	-4749.864741	-763632.757700	-1090096.091400
1724.508210	-4496.729628	-763740.192000	-1090018.978400
1488.121834	-4138.913312	-763781.228900	-1089923.887000
1684.183772	-4184.561549	-763736.540700	-1089945.000800
1473.282292	-3933.211496	-763779.536169	-1089866.999672
1501.580473	-4047.593241	-763776.268000	-1089904.241600
1427.265244	-3537.753556	-763776.520983	-1089790.570177
1437.143899	-2633.523676	-763739.080700	-1089551.124500
4829.354515	-8394.115228	-763109.830800	-1091094.670200
388.048404	-8388.843210	-764198.506400	-1090935.243200
388.149561	-8270.136208	-764194.569004	-1090906.548458
388.755905	-8012.361326	-764185.839848	-1090842.932579
389.411292	-7730.488017	-764176.279503	-1090773.259213
389.668108	-7654.924579	-764173.771353	-1090754.980448
391.235141	-6439.970878	-764132.967008	-1090453.985085
391.903803	-6034.846944	-764118.996981	-1090353.146884
392.476616	-5203.549398	-764090.222720	-1090148.652388
392.338189	-5245.262374	-764091.814660	-1090159.673429
391.956619	-4285.704100	-764057.825918	-1089924.368503
391.491817	-4093.413337	-764050.814598	-1089875.828955
390.774409	-3701.413047	-764036.826198	-1089779.119855
389.279185	-3157.574971	-764017.367221	-1089644.925591
388.940964	-3019.634030	-764012.461172	-1089611.092177
387.493274	-2783.990535	-764003.735476	-1089550.917465
387.454396	-2418.382723	-763990.917680	-1089462.522554
1393.734830	-1460.832560	-763711.662700	-1089260.458800
1111.980024	-1418.894737	-763781.966700	-1089238.993400
1030.715636	-1181.740897	-763789.824800	-1089178.112700
715.196560	-1170.620338	-763866.699700	-1089164.941600
383.137882	-1191.412201	-763948.935100	-1089158.186700
