-761511.380958	-1092324.710009	-761505.892000	-1092325.293500
-761504.145997	-1092266.720262	-761497.652800	-1092265.680700
-761490.567408	-1092244.168735	-761485.508400	-1092242.582600
-761430.314419	-1092266.225475	-761424.786400	-1092265.601400
-761415.320660	-1092210.099701	-761408.514500	-1092211.864400
-761336.188065	-1092224.821656	-761328.980600	-1092226.707500
-761144.676865	-1092353.068610	-761138.956500	-1092354.819000
-760970.665444	-1092263.753271	-760966.236200	-1092264.728200
-761124.507768	-1092244.309776	-761116.969600	-1092245.360700
-760938.801700	-1092142.248540	-760934.009800	-1092142.411100
-760894.776746	-1092085.614621	-760889.004100	-1092087.959800
-760762.063492	-1092029.762864	-760757.876400	-1092032.159000
-760754.278451	-1092155.751250	-760751.038200	-1092157.525500
-760729.631104	-1092129.792386	-760725.968900	-1092131.067100
-760631.618335	-1092108.157961	-760628.800400	-1092111.355600
-760546.635138	-1092141.357260	-760542.546100	-1092143.568700
-760349.032067	-1092183.385711	-760345.322500	-1092183.379500
-760660.303729	-1092976.013254	-760660.286577	-1092975.151445
-761948.651936	-1092791.608480	-761950.142868	-1092789.120458
-761908.073878	-1092778.880611	-761909.317578	-1092776.748958
-761707.923660	-1092802.007052	-761707.301460	-1092799.435921
-761703.287362	-1092791.017453	-761702.855128	-1092788.793035
-761683.935739	-1092789.278187	-761684.125898	-1092786.821886
-761660.222926	-1092617.409835	-761658.143763	-1092615.944808
-761594.659102	-1092497.053030	-761591.035814	-1092494.145942
-760942.037555	-1092934.620460	-760943.263770	-1092934.105075
-761926.742228	-1092794.630085	-761926.624284	-1092793.201333
-761687.965376	-1092827.975112	-761686.324457	-1092827.197099
-761684.119680	-1092828.628480	-761683.057961	-1092827.667190
