2488.797151	-6870.206129	-765338.506896	-1089243.068163
371.697148	-4714.991282	-765789.192100	-1088642.409941
371.523203	-2880.066199	-765724.908610	-1088191.824168
3703.445136	-6873.412221	-765038.115137	-1089285.916838
4012.789948	-6873.749566	-764963.017177	-1089296.628564
6427.274676	-6870.009765	-764362.232692	-1089382.316647
7950.762225	-5718.971892	-763948.935100	-1089158.186700
7948.841379	-6419.699205	-763972.167845	-1089327.401737
7948.712218	-6380.754337	-763970.765253	-1089317.185995
7949.831085	-6863.283937	-763987.190800	-1089436.821000
